2022-10-18 14:12,2022-10-18 14:12,compact
2022-10-18 14:20,2022-10-18 14:20,full-size
2022-10-18 14:31,2022-11-12 09:25,compact
2022-10-18 14:43,2022-11-16 14:13,medium
2022-10-18 14:46,2022-11-19 10:12,class 1 truck
2022-10-18 15:05,2022-10-24 18:10,class 1 truck
2022-10-18 15:12,2022-11-27 07:43,medium
2022-10-18 15:17,2022-10-18 15:17,medium
2022-10-18 15:18,2022-11-10 16:50,full-size
2022-10-18 15:57,2022-11-21 07:54,class 1 truck
2022-10-18 15:57,2022-10-21 13:14,medium
2022-10-18 16:04,2022-10-18 16:04,medium
2022-10-18 16:11,2022-10-18 16:11,class 2 truck
2022-10-18 16:39,2022-10-18 16:39,full-size
2022-10-18 16:49,2022-10-18 16:49,class 2 truck
2022-10-18 16:54,2022-10-18 16:54,full-size
2022-10-18 17:08,2022-10-31 07:34,full-size
2022-10-18 17:08,2022-10-18 17:08,class 1 truck
2022-10-18 17:14,2022-10-18 17:14,class 1 truck
2022-10-18 17:24,2022-11-12 18:18,class 2 truck
2022-10-18 18:04,2022-10-18 18:04,compact
2022-10-18 18:05,2022-11-12 07:08,class 1 truck
2022-10-18 18:08,2022-11-09 07:59,compact
2022-10-18 18:10,2022-11-06 09:50,full-size
2022-10-18 18:17,2022-10-18 18:17,full-size
2022-10-18 18:19,2022-11-22 07:01,class 1 truck
2022-10-18 18:23,2022-10-18 18:23,class 2 truck
2022-10-18 18:30,2022-10-18 18:30,compact
2022-10-18 18:30,2022-10-20 09:00,class 2 truck
2022-10-18 18:30,2022-10-18 18:30,class 1 truck
2022-10-18 18:30,2022-10-22 14:36,class 2 truck
2022-10-18 18:30,2022-11-25 07:33,medium
2022-10-18 18:30,2022-10-18 18:30,class 1 truck
2022-10-18 18:30,2022-10-18 18:30,full-size
2022-10-18 18:30,2022-10-27 07:18,full-size
2022-10-18 18:30,2022-11-02 07:36,class 1 truck
2022-10-18 18:30,2022-10-18 18:30,class 2 truck
2022-10-18 18:30,2022-11-26 07:58,medium
2022-10-18 18:30,2022-10-23 18:30,medium
2022-10-18 18:30,2022-11-29 16:32,class 2 truck
2022-10-19 07:02,2022-11-08 11:17,compact
2022-10-19 07:06,2022-10-19 18:30,class 1 truck
2022-10-19 07:06,2022-11-30 14:49,compact
2022-10-19 07:07,2022-11-15 07:00,full-size
2022-10-19 07:07,2022-11-16 16:27,full-size
2022-10-19 07:09,2022-10-19 07:09,compact
2022-10-19 07:13,2022-10-19 07:13,compact
2022-10-19 07:14,2022-11-30 12:48,compact
2022-10-19 07:15,2022-10-26 07:46,class 2 truck
2022-10-19 07:15,2022-11-04 15:07,full-size
2022-10-19 07:15,2022-10-19 07:15,medium
2022-10-19 07:16,2022-11-10 09:51,full-size
2022-10-19 07:19,2022-11-10 07:32,compact
2022-10-19 07:21,2022-11-03 07:54,full-size
2022-10-19 07:22,2022-10-19 07:22,medium
2022-10-19 07:22,2022-11-24 09:04,medium
2022-10-19 07:27,2022-10-26 18:30,medium
2022-10-19 07:28,2022-11-30 07:07,full-size
2022-10-19 07:29,2022-11-04 11:57,medium
2022-10-19 07:30,2022-10-19 07:30,medium
2022-10-19 07:30,2022-10-26 07:30,full-size
2022-10-19 07:31,2022-11-26 12:46,compact
2022-10-19 07:31,2022-10-19 07:31,medium
2022-10-19 07:32,2022-10-19 07:32,class 2 truck
2022-10-19 07:32,2022-11-20 07:21,class 1 truck
2022-10-19 07:35,2022-10-29 07:59,class 2 truck
2022-10-19 07:36,2022-10-24 18:27,full-size
2022-10-19 07:36,2022-11-24 16:37,class 2 truck
2022-10-19 07:37,2022-10-25 18:03,full-size
2022-10-19 07:38,2022-10-19 07:38,full-size
2022-10-19 07:39,2022-11-03 07:25,class 2 truck
2022-10-19 07:41,2022-11-18 15:47,class 1 truck
2022-10-19 07:41,2022-10-19 07:41,full-size
2022-10-19 07:42,2022-10-19 07:42,full-size
2022-10-19 07:44,2022-11-06 07:46,class 1 truck
2022-10-19 07:45,2022-10-19 07:45,compact
2022-10-19 07:45,2022-11-04 08:26,full-size
2022-10-19 07:48,2022-10-19 07:48,class 1 truck
2022-10-19 07:49,2022-11-17 18:23,medium
2022-10-19 07:49,2022-10-19 07:49,medium
2022-10-19 07:52,2022-11-17 12:14,class 1 truck
2022-10-19 07:52,2022-10-19 07:52,class 2 truck
2022-10-19 07:52,2022-10-19 07:52,compact
2022-10-19 07:53,2022-10-20 09:04,compact
2022-10-19 07:56,2022-10-19 07:56,full-size
2022-10-19 07:56,2022-10-19 07:56,class 2 truck
2022-10-19 08:05,2022-10-19 08:05,medium
2022-10-19 08:22,2022-11-08 18:22,class 1 truck
2022-10-19 08:48,2022-10-25 13:17,medium
2022-10-19 09:07,2022-10-19 09:07,compact
2022-10-19 09:14,2022-10-24 07:12,medium
2022-10-19 09:20,2022-11-15 07:48,full-size
2022-10-19 09:34,2022-11-29 12:11,class 1 truck
2022-10-19 09:49,2022-11-18 07:20,medium
2022-10-19 10:04,2022-10-19 10:04,compact
2022-10-19 10:31,2022-10-19 10:31,class 2 truck
2022-10-19 10:54,2022-11-24 07:21,compact
2022-10-19 10:59,2022-11-10 09:33,class 2 truck
2022-10-19 11:28,2022-11-03 16:51,compact
2022-10-19 11:39,2022-10-19 11:39,class 2 truck
2022-10-19 11:44,2022-10-19 11:44,compact
2022-10-19 12:23,2022-10-19 12:23,class 1 truck
2022-10-19 12:31,2022-10-19 12:31,medium
2022-10-19 12:40,2022-10-23 18:28,compact
2022-10-19 12:45,2022-11-01 18:21,medium
2022-10-19 13:26,2022-10-19 13:26,compact
2022-10-19 13:48,2022-10-19 13:48,class 1 truck
2022-10-19 14:31,2022-10-19 14:31,compact
2022-10-19 14:50,2022-10-19 14:50,full-size
2022-10-19 14:53,2022-11-12 07:08,compact
2022-10-19 14:56,2022-10-19 14:56,class 1 truck
2022-10-19 14:57,2022-11-17 18:30,class 2 truck
2022-10-19 15:10,2022-11-07 18:19,full-size
2022-10-19 15:11,2022-11-03 07:18,compact
2022-10-19 15:31,2022-11-30 18:30,class 2 truck
2022-10-19 15:46,2022-11-24 07:44,compact
2022-10-19 15:56,2022-11-30 07:59,class 1 truck
2022-10-19 15:58,2022-10-19 15:58,class 2 truck
2022-10-19 16:08,2022-10-19 16:08,class 1 truck
2022-10-19 16:11,2022-10-19 16:11,compact
2022-10-19 16:24,2022-11-09 07:26,class 2 truck
2022-10-19 16:30,2022-11-21 07:33,full-size
2022-10-19 16:32,2022-11-02 18:30,compact
2022-10-19 16:39,2022-11-20 07:23,medium
2022-10-19 17:11,2022-10-24 18:09,class 2 truck
2022-10-19 17:30,2022-11-11 07:45,full-size
